Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Processed Review,Hybrid Category,KMeans Cluster,Keyword_Category,Semantic_Category
0,767,33,,Absolutely wonderful - silky and sexy and comfortable,4,1,0,Initmates,Intimate,Intimates,"['absolut', 'wonder', 'silki', 'sexi', 'comfort']",Comfort and Wearability,Cluster 6,Comfort and Wearability,Comfort and Wearability
1,1080,34,,"Love this dress!  it's sooo pretty.  i happened to find it in a store, and i'm glad i did bc i never would have ordered it online bc it's petite.  i bought a petite and am 5'8"".  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite.",5,1,4,General,Dresses,Dresses,"['love', 'dress', 'sooo', 'pretti', 'happen', 'find', 'store', 'im', 'glad', 'bc', 'never', 'would', 'order', 'onlin', 'bc', 'petit', 'bought', 'petit', 'love', 'length', 'hit', 'littl', 'knee', 'would', 'definit', 'true', 'midi', 'someon', 'truli', 'petit']",Fit and Sizing,Cluster 1,Fit and Sizing,Fit and Sizing
2,1077,60,Some major design flaws,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",3,0,0,General,Dresses,Dresses,"['high', 'hope', 'dress', 'realli', 'want', 'work', 'initi', 'order', 'petit', 'small', 'usual', 'size', 'found', 'outrag', 'small', 'small', 'fact', 'could', 'zip', 'reorder', 'petit', 'medium', 'ok', 'overal', 'top', 'half', 'comfort', 'fit', 'nice', 'bottom', 'half', 'tight', 'layer', 'sever', 'somewhat', 'cheap', 'net', 'layer', 'imo', 'major', 'design', 'flaw', 'net', 'layer', 'sewn', 'directli', 'zipper', 'c']",Fit and Sizing,Cluster 1,Fit and Sizing,Fit and Sizing
3,1049,50,My favorite buy!,"I love, love, love this jumpsuit. it's fun, flirty, and fabulous! every time i wear it, i get nothing but great compliments!",5,1,0,General Petite,Bottoms,Pants,"['love', 'love', 'love', 'jumpsuit', 'fun', 'flirti', 'fabul', 'everi', 'time', 'wear', 'get', 'noth', 'great', 'compliment']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
4,847,47,Flattering shirt,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,5,1,6,General,Tops,Blouses,"['shirt', 'flatter', 'due', 'adjust', 'front', 'tie', 'perfect', 'length', 'wear', 'leg', 'sleeveless', 'pair', 'well', 'cardigan', 'love', 'shirt']",Style and Aesthetics,Cluster 2,Style and Aesthetics,Style and Aesthetics
5,1080,49,Not for the very petite,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",2,0,4,General,Dresses,Dresses,"['love', 'traci', 'rees', 'dress', 'one', 'petit', 'feet', 'tall', 'usual', 'wear', 'p', 'brand', 'dress', 'pretti', 'packag', 'lot', 'dress', 'skirt', 'long', 'full', 'overwhelm', 'small', 'frame', 'stranger', 'alter', 'shorten', 'narrow', 'skirt', 'would', 'take', 'away', 'embellish', 'garment', 'love', 'color', 'idea', 'style', 'work', 'return', 'dress']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
6,858,39,Cagrcoal shimmer fun,"I aded this in my basket at hte last mintue to see what it would look like in person. (store pick up). i went with teh darkler color only because i am so pale :-) hte color is really gorgeous, and turns out it mathced everythiing i was trying on with it prefectly. it is a little baggy on me and hte xs is hte msallet size (bummer, no petite). i decided to jkeep it though, because as i said, it matvehd everything. my ejans, pants, and the 3 skirts i waas trying on (of which i ]kept all ) oops.",5,1,1,General Petite,Tops,Knits,"['ade', 'basket', 'hte', 'last', 'mintu', 'see', 'would', 'look', 'like', 'person', 'store', 'pick', 'went', 'teh', 'darkler', 'color', 'pale', 'hte', 'color', 'realli', 'gorgeou', 'turn', 'mathc', 'everythi', 'tri', 'prefectli', 'littl', 'baggi', 'hte', 'xs', 'hte', 'msallet', 'size', 'bummer', 'petit', 'decid', 'jkeep', 'though', 'said', 'matvehd', 'everyth', 'ejan', 'pant', 'skirt', 'waa', 'tri', 'kept', 'oop']",Style and Aesthetics,Cluster 3,Style and Aesthetics,Style and Aesthetics
7,858,39,"Shimmer, surprisingly goes with lots","I ordered this in carbon for store pick up, and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants). everything went with it. the color is really nice charcoal with shimmer, and went well with pencil skirts, flare pants, etc. my only compaint is it is a bit big, sleeves are long and it doesn't go in petite. also a bit loose for me, but no xxs... so i kept it and wil ldecide later since the light color is already sold out in hte smallest size...",4,1,4,General Petite,Tops,Knits,"['order', 'carbon', 'store', 'pick', 'ton', 'stuff', 'alway', 'tri', 'use', 'top', 'pair', 'skirt', 'pant', 'everyth', 'went', 'color', 'realli', 'nice', 'charcoal', 'shimmer', 'went', 'well', 'pencil', 'skirt', 'flare', 'pant', 'etc', 'compaint', 'bit', 'big', 'sleev', 'long', 'doesnt', 'go', 'petit', 'also', 'bit', 'loos', 'xx', 'kept', 'wil', 'ldecid', 'later', 'sinc', 'light', 'color', 'alreadi', 'sold', 'hte', 'smallest', 'size']",Fit and Sizing,Cluster 2,Fit and Sizing,Style and Aesthetics
8,1077,24,Flattering,I love this dress. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering and feminine with the usual retailer flair for style.,5,1,0,General,Dresses,Dresses,"['love', 'dress', 'usual', 'get', 'xs', 'run', 'littl', 'snug', 'bust', 'order', 'size', 'flatter', 'feminin', 'usual', 'retail', 'flair', 'style']",Fit and Sizing,Cluster 3,Style and Aesthetics,Fit and Sizing
9,1077,34,Such a fun dress!,"I'm 5""5' and 125 lbs. i ordered the s petite to make sure the length wasn't too long. i typically wear an xs regular in retailer dresses. if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",5,1,0,General,Dresses,Dresses,"['im', 'lb', 'order', 'petit', 'make', 'sure', 'length', 'wasnt', 'long', 'typic', 'wear', 'xs', 'regular', 'retail', 'dress', 'your', 'less', 'busti', 'b', 'cup', 'smaller', 'petit', 'fit', 'perfectli', 'snug', 'tight', 'love', 'could', 'dress', 'parti', 'work', 'love', 'tull', 'longer', 'fabric', 'underneath']",Fit and Sizing,Cluster 4,Fit and Sizing,Fit and Sizing
